EntrezID	GeneSymbol	Synonyms	GeneName	Chromosome
191	AHCY	SAHH|adoHcyase	adenosylhomocysteinase	chr20
196	AHR	bHLHe76	aryl hydrocarbon receptor	chr7
197	AHSG	A2HS|AHS|FETUA|HSGA	alpha-2-HS-glycoprotein	chr3
199	AIF1	AIF-1|IBA1|IRT-1|IRT1	allograft inflammatory factor 1	chr6
202	AIM1	CRYBG1|ST4	absent in melanoma 1	chr6
203	AK1	-	adenylate kinase 1	chr9
204	AK2	ADK2|AK 2	adenylate kinase 2	chr1
207	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	v-akt murine thymoma viral oncogene homolog 1	chr14
208	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	v-akt murine thymoma viral oncogene homolog 2	chr19
210	ALAD	ALADH|PBGS	aminolevulinate dehydratase	chr9
211	ALAS1	ALAS|ALAS3|ALASH|MIG4	aminolevulinate, delta-, synthase 1	chr3
212	ALAS2	ALAS-E|ALASE|ANH1|ASB|XLDPP|XLEPP|XLSA	aminolevulinate, delta-, synthase 2	chrX
213	ALB	PRO0883|PRO0903|PRO1341	albumin	chr4
214	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	chr3
215	ABCD1	ABC42|ALD|ALDP|AMN	ATP-binding cassette, sub-family D (ALD), member 1	chrX
216	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|PUMB1|RALDH1	aldehyde dehydrogenase 1 family, member A1	chr9
217	ALDH2	ALDH-E2|ALDHI|ALDM	aldehyde dehydrogenase 2 family (mitochondrial)	chr12
218	ALDH3A1	ALDH3|ALDHIII	aldehyde dehydrogenase 3 family, member A1	chr17
219	ALDH1B1	ALDH5|ALDHX	aldehyde dehydrogenase 1 family, member B1	chr9
220	ALDH1A3	ALDH1A6|ALDH6|MCOP8|RALDH3	aldehyde dehydrogenase 1 family, member A3	chr15
221	ALDH3B1	ALDH4|ALDH7	aldehyde dehydrogenase 3 family, member B1	chr11
222	ALDH3B2	ALDH8	aldehyde dehydrogenase 3 family, member B2	chr11
223	ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABADH	aldehyde dehydrogenase 9 family, member A1	chr1
224	ALDH3A2	ALDH10|FALDH|SLS	aldehyde dehydrogenase 3 family, member A2	chr17
225	ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	ATP-binding cassette, sub-family D (ALD), member 2	chr12
226	ALDOA	ALDA|GSD12	aldolase A, fructose-bisphosphate	chr16
229	ALDOB	ALDB|ALDO2	aldolase B, fructose-bisphosphate	chr9
230	ALDOC	ALDC	aldolase C, fructose-bisphosphate	chr17
231	AKR1B1	ADR|ALDR1|ALR2|AR	aldo-keto reductase family 1, member B1 (aldose reductase)	chr7
238	ALK	CD246|NBLST3	anaplastic lymphoma receptor tyrosine kinase	chr2
239	ALOX12	12-LOX|12S-LOX|LOG12	arachidonate 12-lipoxygenase	chr17
240	ALOX5	5-LO|5-LOX|5LPG|LOG5	arachidonate 5-lipoxygenase	chr10
241	ALOX5AP	FLAP	arachidonate 5-lipoxygenase-activating protein	chr13
242	ALOX12B	12R-LOX|ARCI2	arachidonate 12-lipoxygenase, 12R type	chr17
245	ALOX12P2	ALOX12E	arachidonate 12-lipoxygenase pseudogene 2	chr17
246	ALOX15	15-LOX-1|15LOX-1	arachidonate 15-lipoxygenase	chr17
247	ALOX15B	15-LOX-2	arachidonate 15-lipoxygenase, type B	chr17
248	ALPI	IAP	alkaline phosphatase, intestinal	chr2
249	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	alkaline phosphatase, liver/bone/kidney	chr1
250	ALPP	ALP|PALP|PLAP|PLAP-1	alkaline phosphatase, placental	chr2
251	ALPPL2	ALPG|ALPPL|GCAP	alkaline phosphatase, placental-like 2	chr2
257	ALX3	FND1	ALX homeobox 3	chr1
258	AMBN	-	ameloblastin (enamel matrix protein)	chr4
259	AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	alpha-1-microglobulin/bikunin precursor	chr9
262	AMD1	ADOMETDC|AMD|SAMDC	adenosylmethionine decarboxylase 1	chr6
265	AMELX	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	amelogenin, X-linked	chrX
266	AMELY	AMGL|AMGY	amelogenin, Y-linked	chrY
267	AMFR	GP78|RNF45	autocrine motility factor receptor, E3 ubiquitin protein ligase	chr16
268	AMH	MIF|MIS	anti-Mullerian hormone	chr19
269	AMHR2	AMHR|MISR2|MISRII|MRII	anti-Mullerian hormone receptor, type II	chr12
270	AMPD1	MAD|MADA	adenosine monophosphate deaminase 1	chr1
271	AMPD2	-	adenosine monophosphate deaminase 2	chr1
272	AMPD3	-	adenosine monophosphate deaminase 3	chr11
273	AMPH	AMPH1	amphiphysin	chr7
274	BIN1	AMPH2|AMPHL|SH3P9	bridging integrator 1	chr2
275	AMT	GCE|GCST|GCVT|NKH	aminomethyltransferase	chr3
283	ANG	ALS9|HEL168|RNASE4|RNASE5	angiogenin, ribonuclease, RNase A family, 5	chr14
284	ANGPT1	AGP1|AGPT|ANG1	angiopoietin 1	chr8
285	ANGPT2	AGPT2|ANG2	angiopoietin 2	chr8
286	ANK1	ANK|SPH1|SPH2	ankyrin 1, erythrocytic	chr8
287	ANK2	ANK-2|LQT4|brank-2	ankyrin 2, neuronal	chr4
288	ANK3	ANKYRIN-G	ankyrin 3, node of Ranvier (ankyrin G)	chr10
290	ANPEP	APN|CD13|GP150|LAP1|P150|PEPN	alanyl (membrane) aminopeptidase	chr15
291	SLC25A4	1|AAC1|ANT|ANT 1|ANT1|PEO2|PEO3|T1	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	chr4
292	SLC25A5	2F1|AAC2|ANT2|T2|T3	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	chrX
301	ANXA1	ANX1|LPC1	annexin A1	chr9
302	ANXA2	ANX2|ANX2L4|CAL1H|LIP2|LPC2|LPC2D|P36|PAP-IV	annexin A2	chr15
306	ANXA3	ANX3	annexin A3	chr4
307	ANXA4	ANX4|PIG28|ZAP36	annexin A4	chr2
308	ANXA5	ANX5|ENX2|PP4|RPRGL3	annexin A5	chr4
309	ANXA6	ANX6|CBP68	annexin A6	chr5
310	ANXA7	ANX7|SNX|SYNEXIN	annexin A7	chr10
311	ANXA11	ANX11|CAP50	annexin A11	chr10
312	ANXA13	ANX13|ISA	annexin A13	chr8
313	AOAH	-	acyloxyacyl hydrolase (neutrophil)	chr7
314	AOC2	DAO2|RAO	amine oxidase, copper containing 2 (retina-specific)	chr17
316	AOX1	AO|AOH1	aldehyde oxidase 1	chr2
317	APAF1	APAF-1|CED4	apoptotic peptidase activating factor 1	chr12
318	NUDT2	APAH1	nudix (nucleoside diphosphate linked moiety X)-type motif 2	chr9
319	APOF	Apo-F|LTIP	apolipoprotein F	chr12
320	APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	amyloid beta (A4) precursor protein-binding, family A, member 1	chr9
321	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	amyloid beta (A4) precursor protein-binding, family A, member 2	chr15
322	APBB1	FE65|MGC:9072|RIR	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	chr11
323	APBB2	FE65L|FE65L1	amyloid beta (A4) precursor protein-binding, family B, member 2	chr4
324	APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	adenomatous polyposis coli	chr5
325	APCS	PTX2|SAP	amyloid P component, serum	chr1
326	AIRE	AIRE1|APECED|APS1|APSI|PGA1	autoimmune regulator	chr21
327	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	acylaminoacyl-peptide hydrolase	chr3
328	APEX1	APE|APE1|APEN|APEX|APX|HAP1|REF1	APEX nuclease (multifunctional DNA repair enzyme) 1	chr14
329	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	baculoviral IAP repeat containing 2	chr11
330	BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	baculoviral IAP repeat containing 3	chr11
332	BIRC5	API4|EPR-1	baculoviral IAP repeat containing 5	chr17
333	APLP1	APLP	amyloid beta (A4) precursor-like protein 1	chr19
334	APLP2	APLP-2|APPH|APPL2|CDEBP	amyloid beta (A4) precursor-like protein 2	chr11
335	APOA1	-	apolipoprotein A-I	chr11
336	APOA2	Apo-AII|ApoA-II|apoAII	apolipoprotein A-II	chr1
337	APOA4	-	apolipoprotein A-IV	chr11
338	APOB	FLDB|LDLCQ4	apolipoprotein B	chr2
339	APOBEC1	APOBEC-1|BEDP|CDAR1|HEPR	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	chr12
341	APOC1	-	apolipoprotein C-I	chr19
343	AQP8	AQP-8	aquaporin 8	chr16
344	APOC2	APO-CII|APOC-II	apolipoprotein C-II	chr19
345	APOC3	APOCIII|HALP2	apolipoprotein C-III	chr11
347	APOD	-	apolipoprotein D	chr3
348	APOE	AD2|LDLCQ5|LPG	apolipoprotein E	chr19
350	APOH	B2G1|B2GP1|BG	apolipoprotein H (beta-2-glycoprotein I)	chr17
351	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	amyloid beta (A4) precursor protein	chr21
353	APRT	AMP|APRTD	adenine phosphoribosyltransferase	chr16
354	KLK3	APS|KLK2A1|PSA|hK3	kallikrein-related peptidase 3	chr19
355	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	Fas cell surface death receptor	chr10
356	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6	Fas ligand (TNF superfamily, member 6)	chr1
357	SHROOM2	APXL|HSAPXL	shroom family member 2	chrX
358	AQP1	AQP-CHIP|CHIP28|CO	aquaporin 1 (Colton blood group)	chr7
359	AQP2	AQP-CD|WCH-CD	aquaporin 2 (collecting duct)	chr12
360	AQP3	AQP-3|GIL	aquaporin 3 (Gill blood group)	chr9
361	AQP4	HMIWC2|MIWC	aquaporin 4	chr18
362	AQP5	AQP-5	aquaporin 5	chr12
363	AQP6	AQP2L|KID	aquaporin 6, kidney specific	chr12
364	AQP7	AQP7L|AQP9|AQPap|GLYCQTL	aquaporin 7	chr9
366	AQP9	AQP-9|HsT17287|SSC1	aquaporin 9	chr15
367	AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor	chrX
368	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	chr16
369	ARAF	A-RAF|ARAF1|PKS2|RAFA1	v-raf murine sarcoma 3611 viral oncogene homolog	chrX
372	ARCN1	COPD	archain 1	chr11
373	TRIM23	ARD1|ARFD1|RNF46	tripartite motif containing 23	chr5
375	ARF1	-	ADP-ribosylation factor 1	chr1
377	ARF3	-	ADP-ribosylation factor 3	chr12
378	ARF4	ARF2	ADP-ribosylation factor 4	chr3
379	ARL4D	ARF4L|ARL6	ADP-ribosylation factor-like 4D	chr17
381	ARF5	-	ADP-ribosylation factor 5	chr7
382	ARF6	-	ADP-ribosylation factor 6	chr14
383	ARG1	-	arginase 1	chr6
384	ARG2	-	arginase 2	chr14
387	RHOA	ARH12|ARHA|RHO12|RHOH12	ras homolog family member A	chr3
388	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	ras homolog family member B	chr2
389	RHOC	ARH9|ARHC|H9|RHOH9	ras homolog family member C	chr1
390	RND3	ARHE|Rho8|RhoE|memB	Rho family GTPase 3	chr2
391	RHOG	ARHG	ras homolog family member G	chr11
392	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	Rho GTPase activating protein 1	chr11
393	ARHGAP4	C1|RGC1|RhoGAP4|SrGAP4|p115	Rho GTPase activating protein 4	chrX
394	ARHGAP5	GFI2|RhoGAP5|p190-B|p190BRhoGAP	Rho GTPase activating protein 5	chr14
395	ARHGAP6	RHOGAP6|RHOGAPX-1	Rho GTPase activating protein 6	chrX
396	ARHGDIA	GDIA1|NPHS8|RHOGDI|RHOGDI-1	Rho GDP dissociation inhibitor (GDI) alpha	chr17
397	ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	Rho GDP dissociation inhibitor (GDI) beta	chr12
398	ARHGDIG	RHOGDI-3	Rho GDP dissociation inhibitor (GDI) gamma	chr16
399	RHOH	ARHH|TTF	ras homolog family member H	chr4
400	ARL1	ARFL1	ADP-ribosylation factor-like 1	chr12
401	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	paired-like homeobox 2a	chr11
403	ARL3	ARFL3	ADP-ribosylation factor-like 3	chr10
405	ARNT	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	aryl hydrocarbon receptor nuclear translocator	chr1
406	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	aryl hydrocarbon receptor nuclear translocator-like	chr11
407	ARR3	ARRX	arrestin 3, retinal (X-arrestin)	chrX
408	ARRB1	ARB1|ARR1	arrestin, beta 1	chr11
409	ARRB2	ARB2|ARR2|BARR2	arrestin, beta 2	chr17
410	ARSA	MLD	arylsulfatase A	chr22
411	ARSB	ASB|G4S|MPS6	arylsulfatase B	chr5
412	STS	ARSC|ARSC1|ASC|ES|SSDD|XLI	steroid sulfatase (microsomal), isozyme S	chrX
414	ARSD	ASD	arylsulfatase D	chrX
415	ARSE	ASE|CDPX|CDPX1|CDPXR	arylsulfatase E (chondrodysplasia punctata 1)	chrX
416	ARSF	ASF	arylsulfatase F	chrX
417	ART1	ART2|ARTC1|CD296|RT6	ADP-ribosyltransferase 1	chr11
419	ART3	ARTC3	ADP-ribosyltransferase 3	chr4
420	ART4	ARTC4|CD297|DO|DOK1	ADP-ribosyltransferase 4 (Dombrock blood group)	chr12
421	ARVCF	-	armadillo repeat gene deleted in velocardiofacial syndrome	chr22
427	ASAH1	AC|ACDase|ASAH|PHP|PHP32|SMAPME	N-acylsphingosine amidohydrolase (acid ceramidase) 1	chr8
429	ASCL1	ASH1|HASH1|MASH1|bHLHa46	achaete-scute complex homolog 1 (Drosophila)	chr12
430	ASCL2	ASH2|HASH2|MASH2|bHLHa45	achaete-scute complex homolog 2 (Drosophila)	chr11
432	ASGR1	ASGPR|ASGPR1|CLEC4H1|HL-1	asialoglycoprotein receptor 1	chr17
433	ASGR2	ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2	asialoglycoprotein receptor 2	chr17
435	ASL	ASAL	argininosuccinate lyase	chr7
439	ASNA1	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	chr19
440	ASNS	TS11	asparagine synthetase (glutamine-hydrolyzing)	chr7
443	ASPA	ACY2|ASP	aspartoacylase	chr17
444	ASPH	AAH|BAH|CASQ2BP1|HAAH|JCTN|junctin	aspartate beta-hydroxylase	chr8
445	ASS1	ASS|CTLN1	argininosuccinate synthase 1	chr9
460	ASTN1	ASTN	astrotactin 1	chr1
462	SERPINC1	AT3|AT3D|ATIII|THPH7	serpin peptidase inhibitor, clade C (antithrombin), member 1	chr1
466	ATF1	EWS-ATF1|FUS/ATF-1|TREB36	activating transcription factor 1	chr12
467	ATF3	-	activating transcription factor 3	chr1
468	ATF4	CREB-2|CREB2|TAXREB67|TXREB	activating transcription factor 4	chr22
471	ATIC	AICAR|AICARFT|IMPCHASE|PURH	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	chr2
472	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	ataxia telangiectasia mutated	chr11
473	RERE	ARG|ARP|ATN1L|DNB1	arginine-glutamic acid dipeptide (RE) repeats	chr1
475	ATOX1	ATX1|HAH1	antioxidant 1 copper chaperone	chr5
476	ATP1A1	-	ATPase, Na+/K+ transporting, alpha 1 polypeptide	chr1
